Rank,price,propertyAddress,typeOfProperty,noOfBeds,foundFloorPlanImage,mapLocation,area,priceRank,areaRank,roomRank,Rank Sum,NW,£/m2
11,475000,"Brook Crescent, Edmonton, N9",Semi-Detached,3,https://media.rightmove.co.uk/dir/7k/6550/124715888/6550_31622534_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124715888#/map?channel=RES_BUY,1205,83.5,114,82,279.5,FALSE,394.1908714
12,500000,"Overton Close, Neasden, London, NW10",Terraced,3,https://media.rightmove.co.uk/dir/167k/166331/71428587/166331_1129195_FLP_01_0000.png,https://www.rightmove.co.uk/properties/71428587#/map?channel=RES_BUY,1256,114.5,90,82,286.5,TRUE,398.089172
13,570000,"St. Edmunds Road, Edmonton, N9",End of Terrace,4,https://media.rightmove.co.uk/dir/1k/545/126650429/545_EDM220108_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126650429#/map?channel=RES_BUY,1285,204.5,74,9,287.5,FALSE,
14,490000,"Lansbury Close, London, NW10",Terraced,3,https://media.rightmove.co.uk/dir/204k/203015/81593406/203015_1219012-1_FLP_00_0000.png,https://www.rightmove.co.uk/properties/81593406#/map?channel=RES_BUY,1219,99,109,82,290,TRUE,401.9688269
15,575000,"Church Street, London, N9",Semi-Detached,4,https://media.rightmove.co.uk/dir/12k/11087/126552116/11087_HIE220039_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126552116#/map?channel=RES_BUY,1310,222.5,61,9,292.5,FALSE,
16,565000,"Shirley Grove, London, N9 ",End of Terrace,5,https://media.rightmove.co.uk/dir/205k/204362/127560719/204362_315783_FLP_00_0000.png,https://www.rightmove.co.uk/properties/127560719#/map?channel=RES_BUY,1227,201,103,1,305,FALSE,
17,529000,"Howard Close, London, N11",Terraced,3,https://media.rightmove.co.uk/dir/38k/37065/127210466/37065_ARG210190_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127210466#/map?channel=RES_BUY,1272,149,79,82,310,FALSE,
18,525000,"Empire Avenue, London",End of Terrace,3,https://media.rightmove.co.uk/dir/110k/109898/126252428/109898_31734312_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126252428#/map?channel=RES_BUY,1251,142,91.5,82,315.5,FALSE,419.6642686
19,600000,"Tottenhall Road, Palmers Green, N13",Terraced,4,https://media.rightmove.co.uk/dir/204k/203468/123374765/203468_1332600-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123374765#/map?channel=RES_BUY,1490,283.5,26,9,318.5,FALSE,402.6845638
20,585000,"Mallard Close, New Barnet, Barnet",Terraced,4,https://media.rightmove.co.uk/dir/2k/1950/128589632/1950_WTS105709_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128589632#/map?channel=RES_BUY,1309,249,62,9,320,FALSE,
21,450000,"Nightingale Road, Edmonton, N9",Terraced,3,https://media.rightmove.co.uk/dir/1k/545/125702528/545_EDM220099_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125702528#/map?channel=RES_BUY,1080,52.5,186,82,320.5,FALSE,
22,520000,"Devonshire Hill Lane, Tottenham, Haringey, London, N17",Terraced,3,https://media.rightmove.co.uk/dir/1k/582/127953563/582_TOT220183_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127953563#/map?channel=RES_BUY,1224,134,105,82,321,FALSE,424.8366013
23,450000,"White Hart Lane, Tottenham, London",Terraced,3,https://media.rightmove.co.uk/dir/65k/64169/128308817/64169_HUB210568_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128308817#/map?channel=RES_BUY,1071,52.5,190.5,82,325,FALSE,420.1680672
24,450000,"Clayton, Lower Strand, Colindale, London, NW9",Terraced,3,https://media.rightmove.co.uk/dir/224k/223670/85898646/223670_ACR220283_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85898646#/map?channel=RES_BUY,1057,52.5,197,82,331.5,TRUE,425.7332072
25,550000,"Clive Road, Enfield, EN1",End of Terrace,3,https://media.rightmove.co.uk/dir/104k/103154/127532051/103154_EEA220333_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127532051#/map?channel=RES_BUY,1289,180,71.5,82,333.5,FALSE,426.6873545
26,415000,"Falcon Road, Enfield",Terraced,3,https://media.rightmove.co.uk/dir/25k/24386/127432160/24386_11700901_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127432160#/map?channel=RES_BUY,1015,26,227.5,82,335.5,FALSE,408.8669951
27,500000,"Tower Gardens Road, London, N17",Terraced,3,https://media.rightmove.co.uk/dir/204k/203468/122723678/203468_1227258-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/122723678#/map?channel=RES_BUY,1133,114.5,146,82,342.5,FALSE,441.3062665
28,515000,"Hydefield Close, Winchmore Hill, N21",End of Terrace,3,https://media.rightmove.co.uk/dir/79k/78755/123528857/78755_24151311_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123528857#/map?channel=RES_BUY,1154,130.5,133,82,345.5,FALSE,
29,465000,"Richmond Crescent, Edmonton, London, N9",Terraced,3,https://media.rightmove.co.uk/dir/227k/226949/127424513/226949_24012916_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127424513#/map?channel=RES_BUY,1049,69,201,82,352,FALSE,443.2793136
30,625000,"Clitterhouse Road, London, NW2",Semi-Detached,4,https://media.rightmove.co.uk/dir/7k/6769/124257845/6769_GGN220095_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124257845#/map?channel=RES_BUY,1491,321,25,9,355,TRUE,419.1817572
31,635000,"Review Road, London, NW2",Terraced,4,https://media.rightmove.co.uk/dir/11k/10007/125771375/10007_25054834_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125771375#/map?channel=RES_BUY,1652,344.5,7,9,360.5,TRUE,384.3825666
32,475000,"Oxford Road, Enfield, EN3",Terraced,4,https://media.rightmove.co.uk/dir/167k/166970/125502305/166970_102489001347_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125502305#/map?channel=RES_BUY,971,83.5,268.5,9,361,FALSE,489.1864058
33,580000,"Hedge Lane, Palmers Green, London, N13",Terraced,3,https://media.rightmove.co.uk/dir/66k/65535/128546633/65535_31907489_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128546633#/map?channel=RES_BUY,1383,241,40,82,363,FALSE,419.3781634
34,539000,"Wheatley Gardens, London",Semi-Detached,3,https://media.rightmove.co.uk/dir/123k/122323/127953617/122323_RS0247_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127953617#/map?channel=RES_BUY,1167,159,126,82,367,FALSE,461.8680377
35,500000,"Armstrong Road, London, NW10",Terraced,3,https://media.rightmove.co.uk/dir/11k/10007/127551809/10007_25410988_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127551809#/map?channel=RES_BUY,1097,114.5,173.5,82,370,TRUE,455.7885141
36,500000,"Harrow Drive, Edmonton, N9",Semi-Detached,3,https://media.rightmove.co.uk/dir/204k/203468/85940025/203468_1445473-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85940025#/map?channel=RES_BUY,1094,114.5,176,82,372.5,FALSE,
37,639950,"Hedge Lane, Palmers Green, London, N13",Terraced,4,https://media.rightmove.co.uk/dir/31k/30656/128622362/30656_CFT210291_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128622362#/map?channel=RES_BUY,1605,352,12,9,373,FALSE,398.7227414
38,475000,"Oaklands Avenue, Edmonton, N9",End of Terrace,3,https://media.rightmove.co.uk/dir/7k/6550/124223582/6550_31588416_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124223582#/map?channel=RES_BUY,1027,83.5,223,82,388.5,FALSE,462.5121714
39,550000,"Crouch Road, London NW10",Terraced,5,https://media.rightmove.co.uk/dir/54k/53010/127945088/53010_101541006927_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127945088#/map?channel=RES_BUY,1041,180,209.5,1,390.5,TRUE,528.3381364
40,550000,"Oakfield Gardens, London, N18",Semi-Detached,3,https://media.rightmove.co.uk/dir/192k/191252/124990154/191252_PRI220126_FLP_01_0000.jpeg,https://www.rightmove.co.uk/properties/124990154#/map?channel=RES_BUY,1162,180,128.5,82,390.5,FALSE,473.3218589
41,585000,"Mallard Close, New Barnet, Barnet",Terraced,3,https://media.rightmove.co.uk/dir/17k/16892/128598467/16892_31910700_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128598467#/map?channel=RES_BUY,1315,249,60,82,391,FALSE,
42,639995,"Lincoln Road, Enfield",Town House,4,https://media.rightmove.co.uk/dir/32k/31187/123060104/31187_11478786_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123060104#/map?channel=RES_BUY,1444,353.5,33,9,395.5,FALSE,443.2098338
43,575000,"Russell Road, West Hendon NW9",House,3,https://media.rightmove.co.uk/dir/47k/46965/126698069/46965_52942_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126698069#/map?channel=RES_BUY,1238,222.5,98,82,402.5,TRUE,464.4588045
44,600000,"Crescent Road, New Barnet, EN4",Terraced,3,https://media.rightmove.co.uk/dir/19k/18281/125931140/18281_BNT220190_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125931140#/map?channel=RES_BUY,1400,283.5,37,82,402.5,FALSE,428.5714286
45,635000,"Trinity Avenue, Enfield",Terraced,4,https://media.rightmove.co.uk/dir/13k/12585/128187389/12585_31880563_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128187389#/map?channel=RES_BUY,1337,344.5,49,9,402.5,FALSE,474.9439043
46,400000,"Westminster Road, Edmonton, N9",Terraced,3,https://media.rightmove.co.uk/dir/7k/6550/127606721/6550_31834588_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127606721#/map?channel=RES_BUY,932,18.5,303.5,82,404,FALSE,
47,650000,"Lister Gardens, Edmonton, N18",End of Terrace,5,https://media.rightmove.co.uk/dir/7k/6550/115562249/6550_31066869_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/115562249#/map?channel=RES_BUY,2188,401,2,1,404,FALSE,297.0749543
48,624950,"Berkeley Gardens, Winchmore Hill, N21",Terraced,3,https://media.rightmove.co.uk/dir/83k/82874/127624064/82874_31835713_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127624064#/map?channel=RES_BUY,1587,306.5,16,82,404.5,FALSE,393.7933207
49,525000,"Burleigh Road, Enfield",Terraced,3,https://media.rightmove.co.uk/dir/110k/109898/127420220/109898_31820239_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127420220#/map?channel=RES_BUY,1080,142,186,82,410,FALSE,486.1111111
50,575000,"Harrow Drive, Edmonton, London",End of Terrace,3,https://media.rightmove.co.uk/dir/41k/40157/127624625/40157_31835750_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127624625#/map?channel=RES_BUY,1222,222.5,107.5,82,412,FALSE,
51,499950,"Walsingham Road, London, EN2",Semi-Detached,3,https://media.rightmove.co.uk/dir/46k/45596/128229650/45596_2210201_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128229650#/map?channel=RES_BUY,1013,100.5,230,82,412.5,FALSE,493.5340573
52,535000,"Creukhorne Road, London, NW10",Terraced,3,https://media.rightmove.co.uk/dir/11k/10007/127855901/10007_25444669_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127855901#/map?channel=RES_BUY,1091,155.5,177,82,414.5,TRUE,490.375802
53,549950,"Mitchell Road, Palmers Green, N13 6EE",Semi-Detached,4,https://media.rightmove.co.uk/dir/38k/37755/123207449/37755_102706001603_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123207449#/map?channel=RES_BUY,999,163.5,242,9,414.5,FALSE,550.5005005
54,525000,"Monks Road, Enfield, EN2",Semi-Detached,3,https://media.rightmove.co.uk/dir/7k/6355/123241043/6355_ENF210139_FLP_00_0000.png,https://www.rightmove.co.uk/properties/123241043#/map?channel=RES_BUY,1071,142,190.5,82,414.5,FALSE,490.1960784
55,550000,"Halstead Road, Enfield, EN1",Terraced,4,https://media.rightmove.co.uk/dir/204k/203429/127081478/203429_1356695-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127081478#/map?channel=RES_BUY,1014,180,229,9,418,FALSE,542.4063116
56,450000,"Brettenham Road, London, N18",Terraced,3,https://media.rightmove.co.uk/dir/66k/65394/128106725/65394_brettenhamrd_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128106725#/map?channel=RES_BUY,951,52.5,286,82,420.5,FALSE,473.1861199
57,475000,"Oaklands Avenue, Edmonton, N9",End of Terrace,3,https://media.rightmove.co.uk/dir/7k/6550/126617567/6550_31763337_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126617567#/map?channel=RES_BUY,987,83.5,255,82,420.5,FALSE,481.2563323
58,600000,"Norman Avenue, London",Terraced,3,https://media.rightmove.co.uk/dir/13k/12585/126173252/12585_31731841_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126173252#/map?channel=RES_BUY,1318,283.5,56,82,421.5,FALSE,455.2352049
59,600000,"Norman Avenue, Wood Green, London",Terraced,3,https://media.rightmove.co.uk/dir/15k/14497/128102843/14497_102728005964_FLP_00_0000.png,https://www.rightmove.co.uk/properties/128102843#/map?channel=RES_BUY,1318,283.5,56,82,421.5,FALSE,455.2352049
60,650000,"Derwent Avenue, Edmonton, N18",Semi-Detached,4,https://media.rightmove.co.uk/dir/204k/203468/85855545/203468_1420883-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85855545#/map?channel=RES_BUY,1592,401,14,9,424,FALSE,408.2914573
61,475000,"Harington Terrace, London, N18",Terraced,3,https://media.rightmove.co.uk/dir/19k/18497/127600568/18497_25412638_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127600568#/map?channel=RES_BUY,982,83.5,259,82,424.5,FALSE,
62,635000,"Long Lane,London,N3 2HX",Terraced,3,https://media.rightmove.co.uk/dir/239k/238265/125697575/238265_S120116_FLP_00_0002.jpeg,https://www.rightmove.co.uk/properties/125697575#/map?channel=RES_BUY,9111,344.5,1,82,427.5,FALSE,
63,650000,"Review Road, Neasden, London, NW2",Terraced,4,https://media.rightmove.co.uk/dir/72k/71401/120688835/71401_1194744_FLP_00_0000.png,https://www.rightmove.co.uk/properties/120688835#/map?channel=RES_BUY,1538,401,19,9,429,TRUE,422.626788
64,550000,"Manor Road, Enfield",Semi-Detached,3,https://media.rightmove.co.uk/dir/4k/3843/127723043/3843_ENF103344_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127723043#/map?channel=RES_BUY,1102,180,167,82,429,FALSE,499.092559
65,500000,"Aylesbury Street, Neasden",Terraced,3,https://media.rightmove.co.uk/dir/50k/49744/127648139/49744_31837173_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127648139#/map?channel=RES_BUY,1009,114.5,234.5,82,431,FALSE,495.5401388
66,650000,"Church Hill Road, East Barnet, Barnet",House,4,https://media.rightmove.co.uk/dir/229k/228512/127447949/228512_31822971_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127447949#/map?channel=RES_BUY,1502,401,23,9,433,FALSE,432.7563249
67,425000,"Montagu Crescent, London",Semi-Detached,3,https://media.rightmove.co.uk/dir/25k/24386/127513757/24386_11696496_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127513757#/map?channel=RES_BUY,907,31,320,82,433,FALSE,
68,570000,"Amberley Road, Enfield EN1",Semi-Detached,3,https://media.rightmove.co.uk/dir/25k/24386/125932598/24386_11639687_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125932598#/map?channel=RES_BUY,1131,204.5,147,82,433.5,FALSE,503.9787798
69,650000,"Colindeep Lane, Colindale, London, NW9",Semi-Detached,4,https://media.rightmove.co.uk/dir/224k/223670/125845157/223670_ACR220236_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125845157#/map?channel=RES_BUY,1498,401,24,9,434,TRUE,433.9118825
70,475000,"Great Cambridge Road, Enfield",Terraced,3,https://media.rightmove.co.uk/dir/25k/24413/121880753/24413_11428277_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/121880753#/map?channel=RES_BUY,969,83.5,272.5,82,438,FALSE,490.1960784
71,450000,"Lincoln Way, Enfield, EN1",Terraced,3,https://media.rightmove.co.uk/dir/76k/75811/126321719/75811_ENI220086_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126321719#/map?channel=RES_BUY,932,52.5,303.5,82,438,FALSE,482.832618
72,475000,"Dover Road, Edmonton, N9",Semi-Detached,3,https://media.rightmove.co.uk/dir/1k/545/127175867/545_EDM220061_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127175867#/map?channel=RES_BUY,966,83.5,274.5,82,440,FALSE,
73,550000,"Grainger Road, London, N22",Terraced,3,https://media.rightmove.co.uk/dir/25k/24398/128510522/24398_10390462_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128510522#/map?channel=RES_BUY,1088,180,178.5,82,440.5,FALSE,
74,595000,"North Circular Road, London, NW2",End of Terrace,4,https://media.rightmove.co.uk/dir/11k/10007/127460780/10007_25363612_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127460780#/map?channel=RES_BUY,1097,258.5,173.5,9,441,TRUE,542.3883318
75,650000,"Prayle Grove, London, NW2",Semi-Detached,4,https://media.rightmove.co.uk/dir/7k/6769/128530280/6769_GGN220162_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128530280#/map?channel=RES_BUY,1466,401,31,9,441,TRUE,443.3833561
76,489995,"Stockton Road, London",End of Terrace,4,https://media.rightmove.co.uk/dir/123k/122323/127572119/122323_RS0236_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127572119#/map?channel=RES_BUY,885,98,335,9,442,FALSE,
77,465000,"Buddings Circle, Wembley Park",Terraced,3,https://media.rightmove.co.uk/dir/223k/222935/127829411/222935_31837398_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127829411#/map?channel=RES_BUY,948,69,292,82,443,FALSE,
78,525000,"East Crescent, Enfield",Semi-Detached,3,https://media.rightmove.co.uk/dir/13k/12585/127442144/12585_31822499_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127442144#/map?channel=RES_BUY,1031,142,219.5,82,443.5,FALSE,509.214355
79,650000,"Church Hill Road, Barnet, Hertfordshire",End of Terrace,4,https://media.rightmove.co.uk/dir/147k/146753/85855551/146753_ZKWAspire0000626321_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/85855551#/map?channel=RES_BUY,1425,401,35,9,445,FALSE,
80,580000,"Stirling Road, Wood Green, London",Terraced,3,https://media.rightmove.co.uk/dir/15k/14497/128093840/14497_102728005785_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128093840#/map?channel=RES_BUY,1168,241,125,82,448,FALSE,496.5753425
81,600000,"The Hook, Barnet, North London, EN5",Semi-Detached,3,https://media.rightmove.co.uk/dir/37k/36797/128250773/36797_15TH_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128250773#/map?channel=RES_BUY,1269,283.5,84.5,82,450,FALSE,472.8132388
82,520000,"Harrow Avenue, Enfield, EN1",Terraced,3,https://media.rightmove.co.uk/dir/83k/82874/125018414/82874_31649536_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125018414#/map?channel=RES_BUY,1005,134,236,82,452,FALSE,517.4129353
83,600000,"Ridge Road, Winchmore Hill, N21",Terraced,3,https://media.rightmove.co.uk/dir/204k/203468/127889012/203468_1433094-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127889012#/map?channel=RES_BUY,1263,283.5,87,82,452.5,FALSE,
84,530000,"East Crescent, Enfield, EN1",Semi-Detached,3,https://media.rightmove.co.uk/dir/204k/203429/124937681/203429_1217536-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124937681#/map?channel=RES_BUY,1031,151.5,219.5,82,453,FALSE,514.0640155
85,625000,"Heene Road, London, EN2",Terraced,4,https://media.rightmove.co.uk/dir/192k/191252/127628855/191252_PRI220180_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127628855#/map?channel=RES_BUY,1169,321,124,9,454,FALSE,534.6449957
86,550000,"Princes Avenue, London",End of Terrace,3,https://media.rightmove.co.uk/dir/10k/9316/128190191/9316_31880776_FLP_00_0000.png,https://www.rightmove.co.uk/properties/128190191#/map?channel=RES_BUY,1069,180,193.5,82,455.5,FALSE,514.4995323
87,650000,"Dollis Road, Finchley N3",Terraced,4,https://media.rightmove.co.uk/dir/236k/235829/128462045/235829_102397005872_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128462045#/map?channel=RES_BUY,1344,401,46,9,456,FALSE,
88,620000,"Dorchester Avenue, London, N13",Semi-Detached,3,https://media.rightmove.co.uk/dir/81k/80372/124803170/80372_PRA10782DORCHESTER_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/124803170#/map?channel=RES_BUY,1289,304.5,71.5,82,458,FALSE,480.9930178
89,625000,"Queensland Avenue, Edmonton N18",End of Terrace,4,https://media.rightmove.co.uk/dir/10k/9316/127161968/9316_31802130_FLP_00_0000.png,https://www.rightmove.co.uk/properties/127161968#/map?channel=RES_BUY,1161,321,130.5,9,460.5,FALSE,538.3290267
90,550000,"Brigadier Hill, Enfield, EN2",Semi-Detached,3,https://media.rightmove.co.uk/dir/32k/31367/127810031/31367_25415832_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127810031#/map?channel=RES_BUY,1052,180,199,82,461,FALSE,522.8136882
91,625000,"Connaught Gardens, Palmers Green, London, N13",End of Terrace,3,https://media.rightmove.co.uk/dir/31k/30656/125292110/30656_PAG220200_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125292110#/map?channel=RES_BUY,1308,321,63,82,466,FALSE,477.8287462
92,600000,"High Barnet, Hertfordshire, EN5",Semi-Detached,3,https://media.rightmove.co.uk/dir/50k/49431/119708414/49431_3616926_FLP_00_0001.png,https://www.rightmove.co.uk/properties/119708414#/map?channel=RES_BUY,1229,283.5,102,82,467.5,FALSE,488.2017901
93,390000,"Tramway Avenue, Edmonton, London, N9",Terraced,3,https://media.rightmove.co.uk/dir/227k/226949/118641089/226949_21818771_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/118641089#/map?channel=RES_BUY,816,10.5,375.5,82,468,FALSE,477.9411765
94,500000,"Clive Road, Enfield",End of Terrace,3,https://media.rightmove.co.uk/dir/30k/29709/127912904/29709_31855909_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127912904#/map?channel=RES_BUY,969,114.5,272.5,82,469,FALSE,515.995872
95,575000,"High Barnet, Barnet, EN5",Terraced,3,https://media.rightmove.co.uk/dir/50k/49431/124912925/49431_4601652_FLP_00_0000.png,https://www.rightmove.co.uk/properties/124912925#/map?channel=RES_BUY,1105,222.5,164.5,82,469,FALSE,520.361991
96,630000,"Athole Gardens, Enfield, EN1",Semi-Detached,3,https://media.rightmove.co.uk/dir/76k/75811/128529641/75811_ENI220193_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128529641#/map?channel=RES_BUY,1334,337.5,51,82,470.5,FALSE,472.2638681
97,510000,"Holtwhites Hill, Enfield",End of Terrace,3,https://media.rightmove.co.uk/dir/32k/31187/128352704/31187_11734201_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128352704#/map?channel=RES_BUY,981,128.5,260.5,82,471,FALSE,519.8776758
98,625000,"Mallard Close, New Barnet, Barnet, Hertfordshire, EN5",End of Terrace,3,https://media.rightmove.co.uk/dir/30k/29165/128527577/29165_BRN140332_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/128527577#/map?channel=RES_BUY,1301,321,68,82,471,FALSE,480.3996925
99,600000,"Lavender Hill, Enfield, Middlesex, EN2",House,3,https://media.rightmove.co.uk/dir/6k/5921/125029964/5921_HKE220113_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125029964#/map?channel=RES_BUY,1222,283.5,107.5,82,473,FALSE,490.9983633
100,545000,"Brent Terrace, Cricklewood, NW2",Terraced,3,https://media.rightmove.co.uk/dir/152k/151079/76757400/151079_1098249-1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/76757400#/map?channel=RES_BUY,1012,161.5,231,82,474.5,TRUE,538.5375494
101,675000,"Princes Avenue, Palmers Green, London, N13",Terraced,4,https://media.rightmove.co.uk/dir/31k/30656/120704453/30656_PAG190247_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/120704453#/map?channel=RES_BUY,1619,458,10,9,477,FALSE,416.9240272
